;question;answer;contexts;source
0;What is the primary goal of data science as it applies various techniques from fields like mathematics and machine learning?;The primary goal of data science is to extract useful knowledge from data.;['Data science is the study of the extraction of knowledge from data. It uses various techniques from many fields, including signal processing, mathematics, probability, machine learning, computer programming, statistics, data engineering, pattern matching, and data visualization, with the goal of extracting useful knowledge from the data. With computer systems able to handle more data, big data is an important aspect of data science.'];https://simple.wikipedia.org/wiki/Data%20science
1;Why might cross-disciplinary teams be essential in data science?;Cross-disciplinary teams are essential in data science because a data scientist is typically an expert in only one or two disciplines such as mathematics, statistics, or computer science, which necessitates collaboration to solve complex data problems effectively.;['A person that does data science is called a data scientist. Data scientists solve complicated data problems using mathematics, statistics and computer science, although very good skill in these subjects are not required. However, a data scientist is most likely to be an expert in only one or two of these disciplines, meaning that cross disciplinary teams can be a key component of data science.'];https://simple.wikipedia.org/wiki/Data%20science
2;What enables good data scientists to achieve various purposes?;Good data scientists are able to apply their diverse skills and competencies to achieve many kinds of purposes.;['Good data scientists are able to apply their skills to achieve many kinds of purposes. Their skills and competencies vary widely. References'];https://simple.wikipedia.org/wiki/Data%20science
3;What is another term used for data mining, and what is its primary goal?;Another term used for data mining is 'knowledge discovery in databases' or KDD. Its primary goal is to find new and useful information from large datasets.;['Data mining is a term from computer science. Sometimes it is also called knowledge discovery in databases (KDD). Data mining is about finding new information in a lot of data. The information obtained from data mining is hopefully both new and useful.'];https://simple.wikipedia.org/wiki/Data%20mining
4;Why do stores save information about purchases, and how does this influence their future business decisions?;Stores save information about purchases to understand how much they need to buy in the future, ensuring they have enough stock to meet customer demand. This strategic data collection helps in making informed inventory decisions.;['In many cases, data is stored so it can be used later. The data is saved with a goal. For example, a store wants to save what has been bought. They want to do this to know how much they should buy themselves, to have enough to sell later. Saving this information, makes a lot of data. The data is usually saved in a database. The reason why data is saved is called the first use.'];https://simple.wikipedia.org/wiki/Data%20mining
5;What is an example of how stores use data to understand customer buying patterns?;Stores analyze data to identify items that customers frequently purchase together, such as pasta and mushrooms, to better understand buying patterns and potentially enhance marketing strategies.;['Later, the same data can also be used to get other information that was not needed for the first use. The store might want to know now what kind of things people buy together when they buy at the store. (Many people who buy pasta also buy mushrooms for example.) That kind of information is in the data, and is useful, but was not the reason why the data was saved. This information is new and can be useful. It is a second use for the same data.'];https://simple.wikipedia.org/wiki/Data%20mining
6;What is the process called when new and useful information is extracted from data?;The process is called data mining.;['Finding new information that can also be useful from data, is called data mining. Different kinds of data mining'];https://simple.wikipedia.org/wiki/Data%20mining
7;What role does prediction play in data mining?;In data mining, prediction is commonly involved to generate new information, although it often comes with uncertainty in the results.;['For data, there a lot of different kinds of data mining for getting new information. Usually, prediction is involved. There is uncertainty in the predicted results. The following is based on the observation that there is a small green apple in which we can adjust our data in structural manner. Some of the kinds of data mining are:'];https://simple.wikipedia.org/wiki/Data%20mining
8;What is pattern recognition in the context of data mining?;Pattern recognition in data mining involves identifying similarities or patterns among data points in a database, often expressed as rules. For example, the rule 'Small -> green' suggests that small items, like small apples, are often green.;['Pattern recognition (Trying to find similarities in the rows in the database, in the form of rules. Small -> green. (Small apples are often green))'];https://simple.wikipedia.org/wiki/Data%20mining
9;How can knowledge of one data attribute in a Bayesian network help predict another attribute?;In a Bayesian network, understanding one attribute, such as size, can help predict another related attribute, like colour, because the network models how different data attributes are connected and influence each other.;['Using a Bayesian network (Trying to make something that can say how the different data attributes are connected/influence each other. The size and the colour are related. So if you know something about the size, you can guess the colour.)'];https://simple.wikipedia.org/wiki/Data%20mining
10;Why are neural networks often compared to a 'black box' in data science?;Neural networks are often compared to a 'black box' because, similar to how a neural network can predict that a green apple is likely to be sour without us understanding the intricate details of its internal processes, we know it produces accurate results but the exact workings inside the model remain largely unknown.;['Using a Neural network (Trying to make a model like a brain, which is hard to understand, but a computer can tell that if the apple is green it has a higher chance to be sour, if we tell the computer the apple is green. So this is like a black box model, we do not know how it works, but it works.)'];https://simple.wikipedia.org/wiki/Data%20mining
11;How does a classification tree help predict unknown characteristics of an object based on known attributes?;A classification tree uses known attributes of an object, such as size, color, and shininess, to predict unknown characteristics, like what the taste of an apple might be.;['Using Classification tree (With all other knowledge trying to say what one other thing about the thing we are looking at will be. Here is an apple with a size, a colour and shininess, what will it taste like?)'];https://simple.wikipedia.org/wiki/Data%20mining
12;What are the two main types of statistics mentioned, and what is their primary function?;The two main types of statistics mentioned are descriptive statistics and inferential statistics. Descriptive statistics summarize data, while inferential statistics are used to make predictions.;"['Statistics is a branch of applied mathematics that deals with collecting, organising, analysing, reading and presenting data. Descriptive statistics make summaries of data. Inferential statistics makes predictions. Statistics helps in the study of many other fields, such as science, medicine, economics, psychology, politics and marketing. Someone who works in statistics is called a statistician. In addition to being the name of a field of study, the word ""statistics""  can also mean numbers that are used to describe data or relationships.']";https://simple.wikipedia.org/wiki/Statistics
13;What is the earliest known form of statistics and which ancient civilization first recorded it?;The earliest known form of statistics is census data, first recorded by the Babylonians around 3500 BC.;['The first known statistics are census data. The Babylonians did a census around 3500 BC, the Egyptians around 2500 BC, and the Ancient Chinese around 1000 BC.'];https://simple.wikipedia.org/wiki/Statistics
14;Who was one of the mathematicians responsible for developing probability theory in the 16th century, which helped transform statistics into a science?;Gerolamo Cardano;['Starting in the 16th century mathematicians such as Gerolamo Cardano developed probability theory, which made statistics a science. Since then, people have collected and studied statistics on many things. Trees, starfish, stars, rocks, words, almost anything that can be counted has been a subject of statistics.'];https://simple.wikipedia.org/wiki/Statistics
15;In statistics, what is the difference between a 'sample' and a 'population'?;A 'sample' refers to a subset of people chosen from the total 'population' to represent the whole. The sample consists of observable data, whereas the population includes all potential data, which is often not fully observable.;['Before we can describe the world with statistics, we must collect data. The data that we collect in statistics are called measurements. After we collect data, we use one or more numbers to describe each observation or measurement. For example, suppose that we want to find out how popular a certain TV show is. We can pick a group of people (called a sample) out of the total population of viewers. Then we ask each viewer in the sample how often they watch the show. The sample is data that one can see, and the population is data that one cannot see (assuming that not every viewer in the population are asked). For another example, if we want to know whether a certain drug can help lower blood pressure, we could give the drug to people for some time and measure their blood pressure before and after.'];https://simple.wikipedia.org/wiki/Statistics
16;What is the difference between descriptive statistics and inferential statistics?;Descriptive statistics are used to describe the data that can be seen, while inferential statistics are used to make predictions about data that cannot be seen.;['Numbers that describe the data one can see are called descriptive statistics. Numbers that make predictions about the data one cannot see are called inferential statistics.'];https://simple.wikipedia.org/wiki/Statistics
17;What is an example of a descriptive statistic related to a demographic group in the United States?;The average height of women in the United States is an example of a descriptive statistic.;['Descriptive statistics involves using numbers to describe features of data. For example, the average height of women in the United States is a descriptive statistic: it describes a feature (average height) of a population (women in the United States).'];https://simple.wikipedia.org/wiki/Statistics
18;How does inferential statistics help biologists predict the size of animal offspring?;Inferential statistics allows biologists to create models predicting that offspring will likely be small if the parents were small, providing a more accurate prediction than random guessing.;['Once the results have been summarized and described, they can be used for prediction. This is called inferential statistics. As an example, the size of an animal is dependent on many factors. Some of these factors are controlled by the environment, but others are by inheritance. A biologist might therefore make a model that says that there is a high probability that the offspring will be small in sizeâ€”if the parents were small in size. This model probably allows to predict the size in better ways than by just guessing at random. Testing whether a certain drug can be used to cure a certain condition or disease is usually done by comparing the results of people who are given the drug against those who are given a placebo.'];https://simple.wikipedia.org/wiki/Statistics
19;What is one common method used to collect statistical data as mentioned in the text?;One common method to collect statistical data is by conducting surveys, such as opinion polls.;['Most often, we collect statistical data by doing surveys or experiments. For example, an opinion poll is one kind of survey. We pick a small number of people and ask them questions. Then, we use their answers as the data.'];https://simple.wikipedia.org/wiki/Statistics
20;Why is the selection of sampling locations crucial when measuring the water quality of a lake?;The selection of sampling locations is crucial because it directly influences the statistics and results of the study. For example, taking samples next to a waste drain versus a far-away spot in the lake will yield different results, affecting the accuracy and representation of the water quality assessment.;['The choice of which individuals to take for a survey or data collection is important, as it directly influences the statistics. When the statistics are done, it can no longer be determined which individuals are taken. Suppose we want to measure the water quality of a big lake. If we take samples next to the waste drain, we will get different results than if the samples are taken in a far-away and hard-to-reach spot of the lake.'];https://simple.wikipedia.org/wiki/Statistics
21;What are the two common problems encountered when taking samples in data science?;The two common problems are bias in the selection of samples and variability in sample results.;['There are two kinds of problems which are commonly found when taking samples:'];https://simple.wikipedia.org/wiki/Statistics
22;What is a 'chance error' in statistics and when is it likely to occur?;A 'chance error' in statistics occurs when the samples used in a study are not representative of the real population, which is more likely to happen when there are very few samples.;['If there are many samples, the samples will likely be very close to what they are in the real population. If there are very few samples, however, they might be very different from what they are in the real population.  This error is called a chance error (see also Errors and residuals in statistics).'];https://simple.wikipedia.org/wiki/Statistics
23;Why is it important to choose individuals for samples randomly in statistical studies?;Choosing individuals randomly is important to avoid bias, ensuring the sample accurately represents the total population. If not chosen randomly, the samples might significantly differ from the actual characteristics of the total population, even if a large number of samples is taken.;['The individuals for the samples need to be chosen carefully. Usually, they will be chosen randomly. If this is not the case, the samples might be very different from what they really are in the total population. This is true even if a great number of samples is taken. This kind of error is called bias.'];https://simple.wikipedia.org/wiki/Statistics
24;Why can large random samples sometimes be difficult to obtain in statistical studies?;Large random samples can be hard to take because of logistical challenges, the reluctance of individuals to participate, or the awareness of participants that they are receiving a placebo or fake treatment.;['We can reduce chance errors by taking a larger sample, and we can avoid some bias by choosing randomly. However, sometimes large random samples are hard to take. And bias can happen if different people are not asked, or refuse to answer our questions, or if they know they are getting a fake treatment. These problems can be hard to fix. See standard error for more.'];https://simple.wikipedia.org/wiki/Statistics
